Date,Donor,Address,Amount
2010-01-04,CONIFER REALTY LLC,,500.0
2010-01-05,"THACHER ASSOCIATES, LLC",,1000.0
2010-01-05,"DONALD ZUCKER COMPANY, LLC",,25000.0
2010-01-05,"CABLEVISION OF WARWICK, LLC",,20000.0
2010-01-06,CARNAP LLC,,11000.0
2010-01-06,CARNAP LLC,,15000.0
2010-01-07,"WRIGHT REAL ESTATE, LLC",,1300.0
2010-01-07,MANHATTAN BEER DISTRIBUTORS LLC,,2500.0
2010-01-07,"A.L. GEORGE, LLC",,2500.0
2010-01-07,"WRIGHT REAL ESTATE, LLC",,1700.0
2010-01-07,"STEVEN W. HARRIS, LLC",,5000.0
2010-01-07,RAM ASSOCIATES LLC,,2500.0
2010-01-07,MANHATTAN BEER DISTRIBUTORS LLC,,5000.0
2010-01-07,DJJT BERTOLINE ASSOCIATES LLC,,2500.0
2010-01-07,"ENGLISH DANA ENTERPRISES, LLC",,2500.0
2010-01-07,S&S REALTY OF ROCHESTER LLC,,1000.0
2010-01-11,92ND REALTY LLC,,5000.0
2010-01-11,80TH REALTY LLC,,5000.0
2010-01-11,EAST 103RD STREET REALTY LLC,,20000.0
2010-01-11,EAST 77TH REALTY LLC,,5000.0
2010-01-11,"DOUGLASTON DEVELOPMENT, LLC",,5000.0
2010-01-11,WEST 37TH STREET PARKING LLC,,55000.0
2010-01-11,"COMMUNITY COUNSELLING SERVICE CO., LLC",,5000.0
2010-01-11,79TH STREET REALTY LLC,,5000.0
2010-01-11,COLUMBUS 60TH REALTY LLC,,5000.0
2010-01-11,IMPROVEMENT FUND LLC,,50000.0
2010-01-12,"PARAGON MANAGEMENT SNF, LLC",,5000.0
2010-01-12,"METROPOLITAN REALTY GROUP, LLC",,2000.0
2010-01-12,HAVEN MANOR ASSOCIATES LLC,,5000.0
2010-01-12,ALROSE GROUP LLC,,500.0
2010-01-13,NEW SEA CREST HEALTH CENTER LLC,,1000.0
2010-01-13,BOWNE ASSOCIATES LLC,,2000.0
2010-01-13,"W&W GLASS, LLC",,4000.0
2010-01-13,"ABSOLUT FACILITIES MANAGEMENT, LLC",,5000.0
2010-01-13,MUSS DEVELOPMENT LLC,,5000.0
2010-01-13,ISLAND FUND I LLC,,45000.0
2010-01-13,REGENCY EXTENDED MANAGEMENT LLC,,5000.0
2010-01-13,ROCKAWAY EXTENDED MGMT LLC,,5000.0
2010-01-13,"MACANDREWS & FORBES GROUP, LLC",,5000.0
2010-01-14,MSL PARTNERS LLC,,5000.0
2010-01-14,DRUG SOURCE COMPANY LLC,,50000.0
2010-01-14,CAPITAL STRATEGIES GROUP LLC,,2000.0
