DATE,NAME,ADDRESS,,,CHECK NO.,AMOUNT,EXPLANATION,RECORD DATE
1/17/18,"MEGA CONTRACTING GROUP, LLC","STE 400, 4802 25TH AVE",ASTORIA,NY 11103,chk 24470,"$5,000.00 ",,JUL-17-18
1/17/18,"NATIONAL FACILITIES MAINTENANCE, LLC",759 CALDWELL AVE,VALLEY STREAM,NY 11581,114778866,"$2,000.00 ",,JUL-17-18
1/17/18,"FOX TELEVISION STATIONS, LLC",1999 S BUNDY DR,LOS ANGELES,CA 90025,chk 33142626,"$20,000.00 ",,JUL-17-18
1/17/18,"ADC CONSTRUCTION, LLC",5808 48TH ST,MASPETH,NY 11378,chk 13454,"$5,000.00 ",,JUL-17-18
1/17/18,"ALEXANDER HOLDINGS, LLC",55 ALBANY AVE,AMITYVILLE,NY 11701,Credit Card,"$1,000.00 ",,JUL-17-18
1/17/18,OLYMPUS HOLDINGS LLC,67 E PARK PL,MORRISTOWN,NJ 07960,Credit Card,"$5,000.00 ",,JUL-17-18
2/12/18,VIACOM TELECOMMUNICATIONS LLC,1515 BROADWAY,NEW YORK,NY 10036,Wire,"$50,000.00 ",,JUL-17-18
3/13/18,SOVEREIGN PARTNERS LLC,"FL 37, 747 3RD AVE",NEW YORK,NY 10017,Credit Card,"$10,000.00 ",,JUL-17-18
3/15/18,JRM CONSTRUCTION MANAGEMENT LLC,"FL 10, 242 W 36TH ST",NEW YORK,NY 10018,Credit Card,"$2,000.00 ",,JUL-17-18
3/15/18,JRM CONSTRUCTION MANAGEMENT LLC,"FL 10, 242 W 36TH ST",NEW YORK,NY 10018,Credit Card,"$2,000.00 ",,JUL-17-18
3/19/18,"WEGO INTERNATIONAL FLOORS, LLC",239 GREAT NECK RD,GREAT NECK,NY 11021,chk 2500,"$2,500.00 ",,JUL-17-18
3/21/18,RNC INDUSTRIES LLC,720 BLUE POINT RD,HOLTSVILLE,NY 11742,chk 42762,"$2,000.00 ",,JUL-17-18
3/21/18,"WINICK REALTY GROUP, LLC","FL 8, 655 3RD AVE",NEW YORK,NY 10017,Credit Card,"$5,000.00 ",,JUL-17-18
3/21/18,ACE IT SOLUTIONS,"STE 305, 250 PEHLE AVE",SADDLE BROOK,NJ 07663,Credit Card,"$2,000.00 ",,JUL-17-18
3/21/18,ROYAL ABSTRACT NATIONAL LLC,125B PARK AVE,NEW YORK,NY 10017,Credit Card,"$5,000.00 ",,JUL-17-18
3/23/18,NEW YORK BUS SALES LLC,7765 LAKEPORT RD,CHITTENANGO,NY 13037,chk 114932,$700.00 ,,JUL-17-18
3/29/18,"O & H MANAGEMENT, LLC",12 SHERIDAN AVE,ALBANY,NY 12207,chk 2555,"$5,000.00 ",,JUL-17-18
4/2/18,YELLOW JACKET ENERGY LLC,"STE 1450, 200 N",MIDLAND,TX 79701,Wire,"$12,250.00 ",,JUL-17-18
4/3/18,POET LLC,4615 N LEWIS AVE,SIOUX FALLS,SD 57104,chk 44694,"$5,000.00 ",,JUL-17-18
4/3/18,COVANTA ENERGY LLC,445 SOUTH ST,MORRISTOWN,NJ 07960,chk 350896,"$5,000.00 ",,JUL-17-18
4/6/18,"KNICKERBOCKER PARKING, LLC","RM 1601, 40 E 34TH ST",NEW YORK,NY 10016,chk 33,"$25,000.00 ",,JUL-17-18
4/6/18,KNICKERBOCKER TELEVISION LLC,"RM 1601, 40 E 34TH ST",NEW YORK,NY 10016,chk 32,"$25,000.00 ",,JUL-17-18
4/8/18,COLLABORATIVE CONSTRUCTION MANAGEMENT LLC,"FL 3, 5 HANOVER SQ",NEW YORK,NY 10004,chk 1450,"$2,500.00 ",,JUL-17-18
4/8/18,HALMAR INTERNATIONAL LLC,421 E ROUTE 59,NANUET,NY 10954,chk 25204,"$10,000.00 ",,JUL-17-18
4/16/18,WILDER BALTER PARTNERS LLC,480 BEDFORD RD,CHAPPAQUA,NY 10514,chk 7006,"$15,000.00 ",,JUL-17-18
4/16/18,INSPIRED FOODS LLC,2885 SLOAT RD,PEBBLE BEACH,CA 93953,chk 1302,"$5,000.00 ",,JUL-17-18
4/19/18,YYY 62ND STREET LLC,"STE 200, 15 VERBENA",FLORAL PARK,NY 11001,Credit Card,"$10,000.00 ",,JUL-17-18
4/21/18,"SARATOGA CASINO HOLDINGS, LLC","PO BOX 356, 342 JEFFERSON ST",SARATOGA SPRINGS,NY 12866,chk 17418,"$25,000.00 ",,JUL-17-18
4/23/18,ARROWOOD FARMS LLC,236 LOWER WHITFIELD RD,ACCORD,NY 12404,chk 1275,$300.00 ,,JUL-17-18
4/23/18,LEVEL 4 SECURITY LLC,4999 AMELIAS PATH E,MECHANICSBURG,PA 17050,Credit Card,$500.00 ,,JUL-17-18
4/25/18,VISION CONCRETE LLC,PO BOX 221,HOLTSVILLE,NY 11742,chk 0659,"$2,500.00 ",,JUL-17-18
4/25/18,"BROWN & WEINRAUB, PLLC","STE 4, 50 STATE ST",ALBANY,NY 12207,chk 9168,"$10,000.00 ",,JUL-17-18
4/27/18,3300 KOSSUTH PARTNERS LLC,"STE 100, 438 FIFTH AVE",PELHAM,NY 10803,chk 1075,"$10,000.00 ",,JUL-17-18
4/27/18,11-02 37TH AVENUE LLC,"FL 10, 30 WALL ST",NEW YORK,NY 10005,chk 1016,"$10,000.00 ",,JUL-17-18
4/27/18,"MACQUESTEN DEVELOPMENT, LLC","STE 100, 438 FIFTH AVE",PELHAM,NY 10803,chk 2421,"$5,000.00 ",,JUL-17-18
4/27/18,"CABLEVISION OF MONMOUTH, LLC",1111 STEWART AVE,BETHPAGE,NY 11714,chk 1243417,"$25,000.00 ",,JUL-17-18
